PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	function	gene
< -2.46131	< -0.323711	< 0.125754	≥ 0.0172426	< 0.116722	≥ -0.0670098	≥ -0.0921005	< -0.0103348	≥ -0.103436	≥ -0.0742138	< 0.0567379	< 0.0512376	≥ -0.128749	< -0.0386652	< -0.0530638	≥ -0.067954	≥ -0.0273938	< 0.0347436	≥ -0.0444716	< 0.0342379	≥ 0.0432133	≥ 0.0525043	< 0.0549996	< -0.0669247	≥ 0.0027569	Ribo	YBL087C
< -2.46131	< -0.323711	≥ 0.125754	≥ 0.0172426	< 0.116722	< -0.0670098	≥ -0.0921005	< -0.0103348	≥ -0.103436	< -0.0742138	< 0.0567379	< 0.0512376	< -0.128749	≥ -0.0386652	≥ -0.0530638	< -0.067954	< -0.0273938	< 0.0347436	≥ -0.0444716	< 0.0342379	< 0.0432133	< 0.0525043	< 0.0549996	≥ -0.0669247	≥ 0.0027569	Ribo	YHL001W
< -2.46131	≥ -0.323711	< 0.125754	< 0.0172426	< 0.116722	≥ -0.0670098	≥ -0.0921005	< -0.0103348	< -0.103436	< -0.0742138	< 0.0567379	≥ 0.0512376	< -0.128749	< -0.0386652	≥ -0.0530638	≥ -0.067954	≥ -0.0273938	< 0.0347436	≥ -0.0444716	< 0.0342379	≥ 0.0432133	< 0.0525043	≥ 0.0549996	≥ -0.0669247	≥ 0.0027569	Ribo	YOR167C
< -2.46131	≥ -0.323711	≥ 0.125754	< 0.0172426	≥ 0.116722	≥ -0.0670098	< -0.0921005	≥ -0.0103348	≥ -0.103436	< -0.0742138	≥ 0.0567379	< 0.0512376	≥ -0.128749	≥ -0.0386652	< -0.0530638	< -0.067954	< -0.0273938	< 0.0347436	< -0.0444716	≥ 0.0342379	< 0.0432133	≥ 0.0525043	< 0.0549996	< -0.0669247	≥ 0.0027569	Ribo	YER102W
≥ -2.46131	< -0.323711	< 0.125754	≥ 0.0172426	≥ 0.116722	≥ -0.0670098	≥ -0.0921005	< -0.0103348	< -0.103436	≥ -0.0742138	< 0.0567379	≥ 0.0512376	< -0.128749	< -0.0386652	≥ -0.0530638	≥ -0.067954	< -0.0273938	≥ 0.0347436	< -0.0444716	< 0.0342379	< 0.0432133	≥ 0.0525043	< 0.0549996	< -0.0669247	≥ 0.0027569	Ribo	YJL191W
< -2.46131	≥ -0.323711	≥ 0.125754	≥ 0.0172426	< 0.116722	< -0.0670098	< -0.0921005	< -0.0103348	< -0.103436	≥ -0.0742138	< 0.0567379	≥ 0.0512376	≥ -0.128749	< -0.0386652	≥ -0.0530638	≥ -0.067954	< -0.0273938	< 0.0347436	≥ -0.0444716	< 0.0342379	< 0.0432133	≥ 0.0525043	< 0.0549996	< -0.0669247	≥ 0.0027569	Ribo	YJL190C
< -2.46131	≥ -0.323711	≥ 0.125754	≥ 0.0172426	< 0.116722	≥ -0.0670098	≥ -0.0921005	< -0.0103348	< -0.103436	< -0.0742138	< 0.0567379	≥ 0.0512376	≥ -0.128749	≥ -0.0386652	≥ -0.0530638	≥ -0.067954	< -0.0273938	< 0.0347436	≥ -0.0444716	< 0.0342379	< 0.0432133	≥ 0.0525043	< 0.0549996	< -0.0669247	≥ 0.0027569	Ribo	YLR264W
< -2.46131	≥ -0.323711	≥ 0.125754	≥ 0.0172426	< 0.116722	< -0.0670098	≥ -0.0921005	< -0.0103348	< -0.103436	< -0.0742138	< 0.0567379	< 0.0512376	≥ -0.128749	< -0.0386652	≥ -0.0530638	< -0.067954	≥ -0.0273938	≥ 0.0347436	≥ -0.0444716	< 0.0342379	< 0.0432133	< 0.0525043	≥ 0.0549996	≥ -0.0669247	≥ 0.0027569	Ribo	YMR121C
< -2.46131	≥ -0.323711	≥ 0.125754	≥ 0.0172426	< 0.116722	< -0.0670098	≥ -0.0921005	< -0.0103348	≥ -0.103436	< -0.0742138	≥ 0.0567379	< 0.0512376	< -0.128749	< -0.0386652	≥ -0.0530638	< -0.067954	≥ -0.0273938	≥ 0.0347436	< -0.0444716	< 0.0342379	≥ 0.0432133	≥ 0.0525043	≥ 0.0549996	≥ -0.0669247	≥ 0.0027569	Ribo	YLR029C
≥ -2.46131	< -0.323711	< 0.125754	≥ 0.0172426	< 0.116722	< -0.0670098	≥ -0.0921005	< -0.0103348	≥ -0.103436	≥ -0.0742138	< 0.0567379	< 0.0512376	< -0.128749	≥ -0.0386652	≥ -0.0530638	< -0.067954	< -0.0273938	≥ 0.0347436	≥ -0.0444716	≥ 0.0342379	< 0.0432133	< 0.0525043	≥ 0.0549996	< -0.0669247	< 0.0027569	Ribo	YDR500C
< -2.46131	< -0.323711	≥ 0.125754	≥ 0.0172426	≥ 0.116722	< -0.0670098	< -0.0921005	≥ -0.0103348	≥ -0.103436	< -0.0742138	< 0.0567379	< 0.0512376	≥ -0.128749	< -0.0386652	≥ -0.0530638	≥ -0.067954	≥ -0.0273938	< 0.0347436	≥ -0.0444716	≥ 0.0342379	≥ 0.0432133	< 0.0525043	≥ 0.0549996	≥ -0.0669247	< 0.0027569	Ribo	YDR025W
< -2.46131	≥ -0.323711	< 0.125754	≥ 0.0172426	< 0.116722	≥ -0.0670098	≥ -0.0921005	< -0.0103348	≥ -0.103436	< -0.0742138	≥ 0.0567379	≥ 0.0512376	< -0.128749	≥ -0.0386652	< -0.0530638	< -0.067954	≥ -0.0273938	< 0.0347436	< -0.0444716	≥ 0.0342379	< 0.0432133	< 0.0525043	< 0.0549996	< -0.0669247	≥ 0.0027569	Ribo	YGR027C
< -2.46131	≥ -0.323711	≥ 0.125754	< 0.0172426	≥ 0.116722	< -0.0670098	< -0.0921005	< -0.0103348	< -0.103436	≥ -0.0742138	< 0.0567379	< 0.0512376	< -0.128749	≥ -0.0386652	< -0.0530638	≥ -0.067954	< -0.0273938	< 0.0347436	≥ -0.0444716	≥ 0.0342379	< 0.0432133	≥ 0.0525043	≥ 0.0549996	< -0.0669247	≥ 0.0027569	Ribo	YDL083C
≥ -2.46131	< -0.323711	< 0.125754	< 0.0172426	< 0.116722	< -0.0670098	< -0.0921005	≥ -0.0103348	< -0.103436	< -0.0742138	< 0.0567379	≥ 0.0512376	≥ -0.128749	≥ -0.0386652	< -0.0530638	< -0.067954	≥ -0.0273938	< 0.0347436	< -0.0444716	≥ 0.0342379	≥ 0.0432133	≥ 0.0525043	≥ 0.0549996	≥ -0.0669247	≥ 0.0027569	Ribo	YOR182C
< -2.46131	< -0.323711	< 0.125754	< 0.0172426	< 0.116722	< -0.0670098	< -0.0921005	≥ -0.0103348	≥ -0.103436	≥ -0.0742138	< 0.0567379	≥ 0.0512376	≥ -0.128749	< -0.0386652	≥ -0.0530638	< -0.067954	< -0.0273938	≥ 0.0347436	< -0.0444716	< 0.0342379	≥ 0.0432133	< 0.0525043	< 0.0549996	≥ -0.0669247	≥ 0.0027569	Ribo	YJL189W
< -2.46131	< -0.323711	< 0.125754	< 0.0172426	< 0.116722	< -0.0670098	< -0.0921005	< -0.0103348	< -0.103436	≥ -0.0742138	< 0.0567379	≥ 0.0512376	< -0.128749	< -0.0386652	≥ -0.0530638	< -0.067954	≥ -0.0273938	≥ 0.0347436	< -0.0444716	≥ 0.0342379	≥ 0.0432133	< 0.0525043	< 0.0549996	< -0.0669247	≥ 0.0027569	Ribo	YDR447C
≥ -2.46131	< -0.323711	< 0.125754	< 0.0172426	< 0.116722	≥ -0.0670098	< -0.0921005	< -0.0103348	< -0.103436	< -0.0742138	< 0.0567379	≥ 0.0512376	≥ -0.128749	< -0.0386652	< -0.0530638	< -0.067954	≥ -0.0273938	< 0.0347436	≥ -0.0444716	< 0.0342379	≥ 0.0432133	< 0.0525043	< 0.0549996	< -0.0669247	≥ 0.0027569	Ribo	YKR094C
< -2.46131	< -0.323711	< 0.125754	≥ 0.0172426	< 0.116722	< -0.0670098	< -0.0921005	≥ -0.0103348	< -0.103436	≥ -0.0742138	< 0.0567379	< 0.0512376	≥ -0.128749	≥ -0.0386652	≥ -0.0530638	< -0.067954	≥ -0.0273938	≥ 0.0347436	≥ -0.0444716	≥ 0.0342379	< 0.0432133	≥ 0.0525043	< 0.0549996	< -0.0669247	< 0.0027569	Ribo	YIL148W
< -2.46131	< -0.323711	≥ 0.125754	≥ 0.0172426	≥ 0.116722	< -0.0670098	≥ -0.0921005	≥ -0.0103348	≥ -0.103436	≥ -0.0742138	≥ 0.0567379	≥ 0.0512376	≥ -0.128749	< -0.0386652	< -0.0530638	≥ -0.067954	< -0.0273938	< 0.0347436	< -0.0444716	≥ 0.0342379	≥ 0.0432133	< 0.0525043	≥ 0.0549996	< -0.0669247	< 0.0027569	Ribo	YBL072C
< -2.46131	≥ -0.323711	≥ 0.125754	≥ 0.0172426	< 0.116722	< -0.0670098	< -0.0921005	< -0.0103348	≥ -0.103436	< -0.0742138	≥ 0.0567379	≥ 0.0512376	< -0.128749	≥ -0.0386652	≥ -0.0530638	≥ -0.067954	≥ -0.0273938	< 0.0347436	≥ -0.0444716	≥ 0.0342379	≥ 0.0432133	< 0.0525043	< 0.0549996	≥ -0.0669247	≥ 0.0027569	Ribo	YLR388W
< -2.46131	≥ -0.323711	≥ 0.125754	< 0.0172426	≥ 0.116722	< -0.0670098	≥ -0.0921005	< -0.0103348	≥ -0.103436	≥ -0.0742138	< 0.0567379	< 0.0512376	≥ -0.128749	< -0.0386652	≥ -0.0530638	≥ -0.067954	≥ -0.0273938	< 0.0347436	< -0.0444716	< 0.0342379	≥ 0.0432133	≥ 0.0525043	< 0.0549996	< -0.0669247	< 0.0027569	Ribo	YDL061C
< -2.46131	≥ -0.323711	≥ 0.125754	< 0.0172426	< 0.116722	< -0.0670098	≥ -0.0921005	< -0.0103348	≥ -0.103436	< -0.0742138	≥ 0.0567379	< 0.0512376	< -0.128749	< -0.0386652	≥ -0.0530638	≥ -0.067954	< -0.0273938	≥ 0.0347436	≥ -0.0444716	< 0.0342379	< 0.0432133	≥ 0.0525043	< 0.0549996	< -0.0669247	≥ 0.0027569	Ribo	YLR167W
< -2.46131	≥ -0.323711	< 0.125754	< 0.0172426	< 0.116722	< -0.0670098	≥ -0.0921005	< -0.0103348	≥ -0.103436	≥ -0.0742138	≥ 0.0567379	< 0.0512376	< -0.128749	< -0.0386652	< -0.0530638	≥ -0.067954	< -0.0273938	≥ 0.0347436	≥ -0.0444716	≥ 0.0342379	< 0.0432133	≥ 0.0525043	< 0.0549996	< -0.0669247	≥ 0.0027569	Ribo	YLR333C
< -2.46131	< -0.323711	≥ 0.125754	≥ 0.0172426	≥ 0.116722	< -0.0670098	≥ -0.0921005	< -0.0103348	< -0.103436	< -0.0742138	≥ 0.0567379	≥ 0.0512376	< -0.128749	≥ -0.0386652	< -0.0530638	≥ -0.067954	< -0.0273938	< 0.0347436	< -0.0444716	< 0.0342379	≥ 0.0432133	≥ 0.0525043	≥ 0.0549996	≥ -0.0669247	< 0.0027569	Ribo	YOR369C
≥ -2.46131	< -0.323711	< 0.125754	< 0.0172426	≥ 0.116722	≥ -0.0670098	< -0.0921005	< -0.0103348	< -0.103436	≥ -0.0742138	< 0.0567379	≥ 0.0512376	≥ -0.128749	< -0.0386652	≥ -0.0530638	< -0.067954	≥ -0.0273938	< 0.0347436	≥ -0.0444716	≥ 0.0342379	< 0.0432133	≥ 0.0525043	≥ 0.0549996	≥ -0.0669247	≥ 0.0027569	Ribo	YGL030W
< -2.46131	< -0.323711	< 0.125754	< 0.0172426	≥ 0.116722	< -0.0670098	≥ -0.0921005	< -0.0103348	< -0.103436	< -0.0742138	< 0.0567379	≥ 0.0512376	< -0.128749	< -0.0386652	≥ -0.0530638	< -0.067954	< -0.0273938	< 0.0347436	≥ -0.0444716	≥ 0.0342379	≥ 0.0432133	≥ 0.0525043	≥ 0.0549996	≥ -0.0669247	< 0.0027569	Ribo	YLR367W
< -2.46131	< -0.323711	< 0.125754	≥ 0.0172426	≥ 0.116722	< -0.0670098	≥ -0.0921005	≥ -0.0103348	≥ -0.103436	< -0.0742138	≥ 0.0567379	< 0.0512376	≥ -0.128749	≥ -0.0386652	≥ -0.0530638	≥ -0.067954	≥ -0.0273938	< 0.0347436	≥ -0.0444716	< 0.0342379	< 0.0432133	≥ 0.0525043	≥ 0.0549996	≥ -0.0669247	< 0.0027569	Ribo	YPL090C
≥ -2.46131	< -0.323711	< 0.125754	< 0.0172426	≥ 0.116722	≥ -0.0670098	≥ -0.0921005	< -0.0103348	≥ -0.103436	< -0.0742138	≥ 0.0567379	< 0.0512376	≥ -0.128749	< -0.0386652	≥ -0.0530638	≥ -0.067954	< -0.0273938	≥ 0.0347436	≥ -0.0444716	≥ 0.0342379	< 0.0432133	≥ 0.0525043	< 0.0549996	< -0.0669247	< 0.0027569	Ribo	YPL081W
< -2.46131	< -0.323711	< 0.125754	≥ 0.0172426	≥ 0.116722	≥ -0.0670098	< -0.0921005	≥ -0.0103348	< -0.103436	≥ -0.0742138	≥ 0.0567379	< 0.0512376	< -0.128749	≥ -0.0386652	< -0.0530638	≥ -0.067954	≥ -0.0273938	≥ 0.0347436	< -0.0444716	≥ 0.0342379	< 0.0432133	≥ 0.0525043	< 0.0549996	< -0.0669247	≥ 0.0027569	Ribo	YGL076C
< -2.46131	< -0.323711	< 0.125754	≥ 0.0172426	< 0.116722	< -0.0670098	≥ -0.0921005	≥ -0.0103348	≥ -0.103436	≥ -0.0742138	≥ 0.0567379	≥ 0.0512376	< -0.128749	≥ -0.0386652	< -0.0530638	< -0.067954	≥ -0.0273938	≥ 0.0347436	< -0.0444716	< 0.0342379	≥ 0.0432133	≥ 0.0525043	< 0.0549996	< -0.0669247	≥ 0.0027569	Ribo	YBR084C-A
< -2.46131	< -0.323711	≥ 0.125754	≥ 0.0172426	< 0.116722	≥ -0.0670098	≥ -0.0921005	≥ -0.0103348	≥ -0.103436	≥ -0.0742138	≥ 0.0567379	≥ 0.0512376	≥ -0.128749	≥ -0.0386652	< -0.0530638	< -0.067954	≥ -0.0273938	< 0.0347436	< -0.0444716	< 0.0342379	< 0.0432133	≥ 0.0525043	< 0.0549996	< -0.0669247	≥ 0.0027569	Ribo	YBL027W
≥ -2.46131	< -0.323711	< 0.125754	≥ 0.0172426	< 0.116722	< -0.0670098	≥ -0.0921005	< -0.0103348	< -0.103436	≥ -0.0742138	< 0.0567379	< 0.0512376	< -0.128749	< -0.0386652	≥ -0.0530638	< -0.067954	≥ -0.0273938	< 0.0347436	< -0.0444716	≥ 0.0342379	< 0.0432133	≥ 0.0525043	≥ 0.0549996	< -0.0669247	≥ 0.0027569	Ribo	YJL136C
≥ -2.46131	< -0.323711	< 0.125754	≥ 0.0172426	< 0.116722	< -0.0670098	< -0.0921005	< -0.0103348	< -0.103436	≥ -0.0742138	≥ 0.0567379	< 0.0512376	< -0.128749	≥ -0.0386652	≥ -0.0530638	≥ -0.067954	≥ -0.0273938	< 0.0347436	≥ -0.0444716	< 0.0342379	< 0.0432133	≥ 0.0525043	≥ 0.0549996	≥ -0.0669247	< 0.0027569	Ribo	YKR057W
≥ -2.46131	< -0.323711	< 0.125754	< 0.0172426	< 0.116722	≥ -0.0670098	≥ -0.0921005	< -0.0103348	≥ -0.103436	≥ -0.0742138	< 0.0567379	< 0.0512376	< -0.128749	≥ -0.0386652	≥ -0.0530638	< -0.067954	< -0.0273938	≥ 0.0347436	< -0.0444716	≥ 0.0342379	≥ 0.0432133	< 0.0525043	< 0.0549996	≥ -0.0669247	< 0.0027569	Ribo	YLR185W
< -2.46131	< -0.323711	< 0.125754	≥ 0.0172426	< 0.116722	< -0.0670098	< -0.0921005	≥ -0.0103348	< -0.103436	≥ -0.0742138	≥ 0.0567379	≥ 0.0512376	< -0.128749	≥ -0.0386652	≥ -0.0530638	≥ -0.067954	< -0.0273938	< 0.0347436	< -0.0444716	≥ 0.0342379	≥ 0.0432133	< 0.0525043	≥ 0.0549996	< -0.0669247	< 0.0027569	Ribo	YER074W
< -2.46131	< -0.323711	≥ 0.125754	≥ 0.0172426	< 0.116722	< -0.0670098	≥ -0.0921005	< -0.0103348	< -0.103436	≥ -0.0742138	≥ 0.0567379	< 0.0512376	≥ -0.128749	< -0.0386652	< -0.0530638	≥ -0.067954	< -0.0273938	< 0.0347436	≥ -0.0444716	≥ 0.0342379	< 0.0432133	< 0.0525043	≥ 0.0549996	≥ -0.0669247	≥ 0.0027569	Ribo	YOR096W
< -2.46131	< -0.323711	< 0.125754	< 0.0172426	< 0.116722	≥ -0.0670098	< -0.0921005	≥ -0.0103348	< -0.103436	≥ -0.0742138	< 0.0567379	≥ 0.0512376	< -0.128749	≥ -0.0386652	< -0.0530638	< -0.067954	≥ -0.0273938	≥ 0.0347436	< -0.0444716	≥ 0.0342379	< 0.0432133	≥ 0.0525043	< 0.0549996	< -0.0669247	≥ 0.0027569	Ribo	YPL198W
< -2.46131	< -0.323711	< 0.125754	≥ 0.0172426	< 0.116722	≥ -0.0670098	< -0.0921005	≥ -0.0103348	< -0.103436	≥ -0.0742138	≥ 0.0567379	≥ 0.0512376	< -0.128749	≥ -0.0386652	≥ -0.0530638	≥ -0.067954	≥ -0.0273938	≥ 0.0347436	< -0.0444716	≥ 0.0342379	< 0.0432133	< 0.0525043	< 0.0549996	< -0.0669247	< 0.0027569	Ribo	YLR448W
< -2.46131	< -0.323711	< 0.125754	< 0.0172426	< 0.116722	≥ -0.0670098	< -0.0921005	< -0.0103348	< -0.103436	< -0.0742138	< 0.0567379	≥ 0.0512376	< -0.128749	≥ -0.0386652	< -0.0530638	< -0.067954	≥ -0.0273938	≥ 0.0347436	< -0.0444716	< 0.0342379	≥ 0.0432133	< 0.0525043	< 0.0549996	< -0.0669247	< 0.0027569	Ribo	YOR234C
≥ -2.46131	< -0.323711	< 0.125754	≥ 0.0172426	< 0.116722	≥ -0.0670098	< -0.0921005	≥ -0.0103348	< -0.103436	< -0.0742138	≥ 0.0567379	< 0.0512376	< -0.128749	< -0.0386652	< -0.0530638	≥ -0.067954	< -0.0273938	≥ 0.0347436	< -0.0444716	< 0.0342379	≥ 0.0432133	≥ 0.0525043	≥ 0.0549996	< -0.0669247	< 0.0027569	Ribo	YNL178W
< -2.46131	< -0.323711	< 0.125754	≥ 0.0172426	< 0.116722	≥ -0.0670098	≥ -0.0921005	≥ -0.0103348	≥ -0.103436	≥ -0.0742138	≥ 0.0567379	< 0.0512376	≥ -0.128749	≥ -0.0386652	< -0.0530638	≥ -0.067954	≥ -0.0273938	< 0.0347436	< -0.0444716	< 0.0342379	< 0.0432133	≥ 0.0525043	≥ 0.0549996	< -0.0669247	< 0.0027569	Ribo	YBR181C
< -2.46131	≥ -0.323711	< 0.125754	≥ 0.0172426	< 0.116722	≥ -0.0670098	≥ -0.0921005	≥ -0.0103348	≥ -0.103436	≥ -0.0742138	≥ 0.0567379	< 0.0512376	< -0.128749	≥ -0.0386652	< -0.0530638	≥ -0.067954	≥ -0.0273938	≥ 0.0347436	< -0.0444716	≥ 0.0342379	≥ 0.0432133	< 0.0525043	< 0.0549996	≥ -0.0669247	≥ 0.0027569	Ribo	YOL121C
< -2.46131	≥ -0.323711	< 0.125754	≥ 0.0172426	< 0.116722	≥ -0.0670098	< -0.0921005	≥ -0.0103348	≥ -0.103436	< -0.0742138	< 0.0567379	≥ 0.0512376	< -0.128749	≥ -0.0386652	< -0.0530638	≥ -0.067954	< -0.0273938	≥ 0.0347436	≥ -0.0444716	< 0.0342379	≥ 0.0432133	≥ 0.0525043	≥ 0.0549996	< -0.0669247	< 0.0027569	Ribo	YLL045C
< -2.46131	< -0.323711	< 0.125754	≥ 0.0172426	≥ 0.116722	≥ -0.0670098	≥ -0.0921005	< -0.0103348	< -0.103436	≥ -0.0742138	< 0.0567379	< 0.0512376	< -0.128749	≥ -0.0386652	< -0.0530638	≥ -0.067954	< -0.0273938	≥ 0.0347436	≥ -0.0444716	≥ 0.0342379	< 0.0432133	< 0.0525043	< 0.0549996	< -0.0669247	< 0.0027569	Ribo	YGR214W
< -2.46131	≥ -0.323711	≥ 0.125754	≥ 0.0172426	≥ 0.116722	≥ -0.0670098	< -0.0921005	< -0.0103348	< -0.103436	≥ -0.0742138	< 0.0567379	≥ 0.0512376	< -0.128749	≥ -0.0386652	< -0.0530638	≥ -0.067954	≥ -0.0273938	≥ 0.0347436	≥ -0.0444716	≥ 0.0342379	< 0.0432133	< 0.0525043	< 0.0549996	< -0.0669247	< 0.0027569	Ribo	YLR048W
< -2.46131	< -0.323711	< 0.125754	≥ 0.0172426	< 0.116722	≥ -0.0670098	< -0.0921005	≥ -0.0103348	< -0.103436	≥ -0.0742138	< 0.0567379	≥ 0.0512376	< -0.128749	< -0.0386652	≥ -0.0530638	≥ -0.067954	< -0.0273938	< 0.0347436	≥ -0.0444716	≥ 0.0342379	< 0.0432133	< 0.0525043	< 0.0549996	≥ -0.0669247	≥ 0.0027569	Ribo	YNL301C
< -2.46131	≥ -0.323711	≥ 0.125754	≥ 0.0172426	≥ 0.116722	≥ -0.0670098	< -0.0921005	≥ -0.0103348	≥ -0.103436	< -0.0742138	≥ 0.0567379	< 0.0512376	< -0.128749	≥ -0.0386652	< -0.0530638	< -0.067954	< -0.0273938	< 0.0347436	< -0.0444716	≥ 0.0342379	≥ 0.0432133	< 0.0525043	≥ 0.0549996	≥ -0.0669247	< 0.0027569	Ribo	YJR145C
< -2.46131	≥ -0.323711	< 0.125754	≥ 0.0172426	< 0.116722	≥ -0.0670098	≥ -0.0921005	≥ -0.0103348	< -0.103436	≥ -0.0742138	≥ 0.0567379	< 0.0512376	< -0.128749	< -0.0386652	< -0.0530638	< -0.067954	≥ -0.0273938	≥ 0.0347436	< -0.0444716	≥ 0.0342379	≥ 0.0432133	≥ 0.0525043	≥ 0.0549996	≥ -0.0669247	< 0.0027569	Ribo	YHR203C
< -2.46131	< -0.323711	≥ 0.125754	≥ 0.0172426	≥ 0.116722	≥ -0.0670098	≥ -0.0921005	≥ -0.0103348	≥ -0.103436	< -0.0742138	< 0.0567379	< 0.0512376	≥ -0.128749	≥ -0.0386652	< -0.0530638	< -0.067954	< -0.0273938	< 0.0347436	≥ -0.0444716	≥ 0.0342379	≥ 0.0432133	< 0.0525043	< 0.0549996	< -0.0669247	< 0.0027569	Ribo	YJR123W
< -2.46131	≥ -0.323711	≥ 0.125754	< 0.0172426	≥ 0.116722	≥ -0.0670098	< -0.0921005	≥ -0.0103348	< -0.103436	< -0.0742138	≥ 0.0567379	≥ 0.0512376	< -0.128749	≥ -0.0386652	< -0.0530638	< -0.067954	≥ -0.0273938	< 0.0347436	< -0.0444716	≥ 0.0342379	≥ 0.0432133	< 0.0525043	< 0.0549996	≥ -0.0669247	< 0.0027569	Ribo	YJL177W
< -2.46131	≥ -0.323711	< 0.125754	< 0.0172426	≥ 0.116722	≥ -0.0670098	< -0.0921005	< -0.0103348	< -0.103436	< -0.0742138	< 0.0567379	< 0.0512376	< -0.128749	< -0.0386652	≥ -0.0530638	≥ -0.067954	< -0.0273938	≥ 0.0347436	< -0.0444716	≥ 0.0342379	< 0.0432133	< 0.0525043	≥ 0.0549996	< -0.0669247	< 0.0027569	Ribo	YOL040C
< -2.46131	≥ -0.323711	≥ 0.125754	≥ 0.0172426	≥ 0.116722	≥ -0.0670098	< -0.0921005	≥ -0.0103348	≥ -0.103436	< -0.0742138	≥ 0.0567379	≥ 0.0512376	< -0.128749	≥ -0.0386652	≥ -0.0530638	< -0.067954	≥ -0.0273938	< 0.0347436	< -0.0444716	< 0.0342379	≥ 0.0432133	< 0.0525043	≥ 0.0549996	≥ -0.0669247	< 0.0027569	Ribo	YDR418W
< -2.46131	≥ -0.323711	< 0.125754	≥ 0.0172426	≥ 0.116722	≥ -0.0670098	< -0.0921005	≥ -0.0103348	< -0.103436	< -0.0742138	≥ 0.0567379	≥ 0.0512376	< -0.128749	≥ -0.0386652	< -0.0530638	≥ -0.067954	≥ -0.0273938	< 0.0347436	≥ -0.0444716	≥ 0.0342379	< 0.0432133	< 0.0525043	≥ 0.0549996	< -0.0669247	< 0.0027569	Ribo	YNL069C
≥ -2.46131	< -0.323711	< 0.125754	≥ 0.0172426	≥ 0.116722	≥ -0.0670098	≥ -0.0921005	≥ -0.0103348	≥ -0.103436	≥ -0.0742138	≥ 0.0567379	< 0.0512376	< -0.128749	< -0.0386652	< -0.0530638	≥ -0.067954	< -0.0273938	≥ 0.0347436	≥ -0.0444716	< 0.0342379	≥ 0.0432133	< 0.0525043	≥ 0.0549996	< -0.0669247	< 0.0027569	Ribo	YPL131W
< -2.46131	≥ -0.323711	< 0.125754	≥ 0.0172426	≥ 0.116722	≥ -0.0670098	≥ -0.0921005	≥ -0.0103348	< -0.103436	≥ -0.0742138	≥ 0.0567379	< 0.0512376	< -0.128749	≥ -0.0386652	< -0.0530638	≥ -0.067954	< -0.0273938	≥ 0.0347436	< -0.0444716	≥ 0.0342379	≥ 0.0432133	< 0.0525043	< 0.0549996	< -0.0669247	≥ 0.0027569	Ribo	YIL018W
< -2.46131	≥ -0.323711	≥ 0.125754	< 0.0172426	< 0.116722	≥ -0.0670098	≥ -0.0921005	≥ -0.0103348	≥ -0.103436	< -0.0742138	≥ 0.0567379	≥ 0.0512376	< -0.128749	≥ -0.0386652	≥ -0.0530638	< -0.067954	≥ -0.0273938	≥ 0.0347436	< -0.0444716	≥ 0.0342379	≥ 0.0432133	≥ 0.0525043	≥ 0.0549996	< -0.0669247	< 0.0027569	Ribo	YHL015W
< -2.46131	< -0.323711	≥ 0.125754	< 0.0172426	≥ 0.116722	≥ -0.0670098	≥ -0.0921005	< -0.0103348	< -0.103436	≥ -0.0742138	< 0.0567379	≥ 0.0512376	≥ -0.128749	≥ -0.0386652	≥ -0.0530638	≥ -0.067954	≥ -0.0273938	≥ 0.0347436	≥ -0.0444716	≥ 0.0342379	< 0.0432133	< 0.0525043	< 0.0549996	< -0.0669247	< 0.0027569	Ribo	YIL133C
< -2.46131	≥ -0.323711	≥ 0.125754	< 0.0172426	< 0.116722	< -0.0670098	≥ -0.0921005	≥ -0.0103348	≥ -0.103436	< -0.0742138	≥ 0.0567379	< 0.0512376	< -0.128749	≥ -0.0386652	< -0.0530638	< -0.067954	≥ -0.0273938	< 0.0347436	< -0.0444716	≥ 0.0342379	< 0.0432133	< 0.0525043	≥ 0.0549996	≥ -0.0669247	≥ 0.0027569	Ribo	YER131W
< -2.46131	≥ -0.323711	≥ 0.125754	< 0.0172426	< 0.116722	< -0.0670098	< -0.0921005	< -0.0103348	≥ -0.103436	< -0.0742138	≥ 0.0567379	≥ 0.0512376	< -0.128749	< -0.0386652	≥ -0.0530638	< -0.067954	≥ -0.0273938	< 0.0347436	< -0.0444716	≥ 0.0342379	≥ 0.0432133	< 0.0525043	≥ 0.0549996	≥ -0.0669247	≥ 0.0027569	Ribo	YGL189C
< -2.46131	≥ -0.323711	≥ 0.125754	< 0.0172426	< 0.116722	< -0.0670098	< -0.0921005	≥ -0.0103348	≥ -0.103436	≥ -0.0742138	≥ 0.0567379	≥ 0.0512376	< -0.128749	≥ -0.0386652	≥ -0.0530638	< -0.067954	< -0.0273938	≥ 0.0347436	≥ -0.0444716	< 0.0342379	≥ 0.0432133	≥ 0.0525043	≥ 0.0549996	≥ -0.0669247	< 0.0027569	Ribo	YGR085C
